=== iter1: crafty+F736+domain (old champion) ===
22:50:43 Grounding...
22:50:44 Grounding done (1.50s)
22:50:44 Solving...
22:50:45 Model found (2.36s): [-72, -5392]
22:50:46 Model found (2.88s, +0.00s): [-72, -8112]
22:50:46 Model found (2.88s, +0.00s): [-72, -8122]
22:50:46 Model found (2.88s, +0.00s): [-72, -8132]
22:50:46 Model found (2.88s, +0.00s): [-72, -8142]
22:50:46 Model found (2.88s, +0.00s): [-72, -8152]
22:50:46 Model found (2.88s, +0.00s): [-72, -8162]
22:50:46 Model found (2.89s, +0.00s): [-72, -8172]
22:50:46 Model found (2.89s, +0.00s): [-72, -8182]
22:50:46 Model found (2.89s, +0.00s): [-72, -8192]
22:50:46 Model found (2.89s, +0.00s): [-72, -8202]
22:50:46 Model found (2.89s, +0.00s): [-72, -8212]
22:50:46 Model found (2.90s, +0.00s): [-72, -8222]
22:50:46 Model found (2.90s, +0.00s): [-72, -8232]
22:50:46 Model found (2.90s, +0.00s): [-72, -8242]
22:50:46 Model found (2.90s, +0.00s): [-72, -8252]
22:50:46 Model found (2.91s, +0.00s): [-72, -8262]
22:50:46 Model found (2.91s, +0.00s): [-72, -8272]
22:50:46 Model found (2.91s, +0.00s): [-72, -8282]
22:50:46 Model found (2.91s, +0.00s): [-72, -8292]
22:50:46 Model found (2.91s, +0.00s): [-72, -8302]
22:50:46 Model found (2.92s, +0.00s): [-72, -8312]
22:50:46 Model found (2.92s, +0.00s): [-72, -8322]
22:50:46 Model found (2.92s, +0.00s): [-72, -8332]
22:50:46 Model found (2.92s, +0.00s): [-72, -8342]
22:50:46 Model found (2.92s, +0.00s): [-72, -8352]
22:50:46 Model found (2.92s, +0.00s): [-72, -8362]
22:50:46 Model found (2.93s, +0.00s): [-72, -8372]
22:50:46 Model found (2.93s, +0.00s): [-72, -8382]
22:50:46 Model found (2.93s, +0.00s): [-72, -8392]
22:50:46 Model found (2.93s, +0.00s): [-72, -8402]
22:50:46 Model found (2.93s, +0.00s): [-72, -8412]
22:50:46 Model found (2.94s, +0.00s): [-72, -8422]
22:50:46 Model found (2.94s, +0.00s): [-72, -8432]
22:50:46 Model found (2.94s, +0.00s): [-72, -8442]
22:50:46 Model found (2.94s, +0.00s): [-72, -8452]
22:50:46 Model found (2.94s, +0.00s): [-72, -8462]
22:50:46 Model found (2.95s, +0.00s): [-72, -8472]
22:50:46 Model found (2.95s, +0.00s): [-72, -8482]
22:50:46 Model found (2.95s, +0.00s): [-72, -8492]
22:50:46 Model found (2.95s, +0.00s): [-72, -8502]
22:50:46 Model found (2.95s, +0.00s): [-72, -8512]
