Domain options require heuristic 'Domain'!
17:05:45 Grounding...
17:05:45 Grounding done (0.29s)
17:05:45 Solving...
17:05:46 Model found (1.17s): [-92, -245]
17:06:39 Model found (54.09s, +0.06s): [-380, -1333]
17:06:39 Model found (54.15s, +0.06s): [-380, -1334]
17:06:39 Model found (54.22s, +0.06s): [-380, -1335]
17:06:39 Model found (54.28s, +0.06s): [-380, -1336]
17:06:40 Model found (54.34s, +0.06s): [-380, -1337]
17:06:40 Model found (54.42s, +0.08s): [-380, -1338]
17:06:40 Model found (54.49s, +0.07s): [-380, -1339]
17:06:40 Model found (54.58s, +0.09s): [-380, -1340]
17:06:40 Model found (54.65s, +0.06s): [-380, -1341]
17:06:40 Model found (54.75s, +0.11s): [-380, -1342]
17:06:40 Model found (54.86s, +0.11s): [-380, -1343]
17:06:40 Model found (54.94s, +0.08s): [-380, -1344]
17:06:40 Model found (55.02s, +0.08s): [-380, -1345]
17:06:40 Model found (55.09s, +0.07s): [-380, -1346]
17:06:40 Model found (55.18s, +0.09s): [-380, -1347]
17:06:40 Model found (55.25s, +0.07s): [-380, -1348]
17:06:41 Model found (55.34s, +0.09s): [-380, -1349]
17:06:41 Model found (55.41s, +0.07s): [-380, -1350]
17:06:41 Model found (55.50s, +0.08s): [-380, -1351]
17:06:41 Model found (55.58s, +0.09s): [-380, -1352]
17:06:41 Model found (55.67s, +0.08s): [-380, -1353]
17:06:41 Model found (55.74s, +0.07s): [-380, -1354]
17:06:41 Model found (55.82s, +0.08s): [-380, -1355]
17:06:41 Model found (55.90s, +0.08s): [-380, -1356]
17:06:41 Model found (56.00s, +0.10s): [-380, -1357]
17:06:41 Model found (56.08s, +0.08s): [-380, -1358]
17:06:41 Model found (56.15s, +0.07s): [-380, -1359]
17:06:41 Model found (56.22s, +0.07s): [-380, -1360]
17:06:41 Model found (56.29s, +0.07s): [-380, -1361]
17:06:42 Model found (56.36s, +0.07s): [-380, -1362]
17:06:42 Model found (56.47s, +0.10s): [-380, -1363]
17:06:42 Model found (56.57s, +0.11s): [-380, -1364]
17:06:42 Model found (56.65s, +0.08s): [-380, -1365]
17:06:42 Model found (56.76s, +0.11s): [-380, -1366]
17:06:42 Model found (56.84s, +0.08s): [-380, -1367]
17:06:42 Model found (56.93s, +0.09s): [-380, -1368]
17:06:42 Model found (57.05s, +0.13s): [-380, -1369]
17:06:42 Model found (57.13s, +0.08s): [-380, -1370]
17:06:42 Model found (57.20s, +0.08s): [-380, -1371]
17:06:42 Model found (57.28s, +0.08s): [-380, -1372]
17:06:43 Model found (57.35s, +0.07s): [-380, -1373]
17:06:43 Model found (57.44s, +0.09s): [-380, -1374]
17:06:43 Model found (57.50s, +0.06s): [-380, -1375]
17:06:43 Model found (57.57s, +0.06s): [-380, -1376]
17:06:43 Model found (57.65s, +0.08s): [-380, -1377]
17:06:43 Model found (57.71s, +0.06s): [-380, -1378]
17:06:43 Model found (57.77s, +0.06s): [-380, -1379]
17:06:43 Model found (57.83s, +0.06s): [-380, -1380]
17:06:43 Model found (57.90s, +0.06s): [-380, -1381]
17:06:43 Model found (57.95s, +0.06s): [-380, -1382]
17:06:43 Model found (58.01s, +0.06s): [-380, -1383]
17:06:43 Model found (58.07s, +0.06s): [-380, -1384]
17:06:43 Model found (58.14s, +0.07s): [-380, -1385]
17:06:43 Model found (58.28s, +0.15s): [-380, -1386]
17:06:44 Model found (58.35s, +0.07s): [-380, -1387]
17:06:44 Model found (58.42s, +0.08s): [-380, -1388]
17:06:44 Model found (58.51s, +0.09s): [-380, -1389]
17:06:44 Model found (58.61s, +0.09s): [-380, -1390]
17:06:44 Model found (58.73s, +0.13s): [-380, -1391]
17:06:44 Model found (58.84s, +0.11s): [-380, -1392]
17:06:44 Model found (58.93s, +0.09s): [-380, -1393]
17:06:44 Model found (59.02s, +0.09s): [-380, -1394]
17:06:44 Model found (59.10s, +0.07s): [-380, -1395]
17:06:44 Model found (59.18s, +0.08s): [-380, -1396]
17:06:45 Model found (59.30s, +0.13s): [-380, -1397]
17:06:45 Model found (59.41s, +0.10s): [-380, -1398]
17:06:45 Model found (59.50s, +0.09s): [-380, -1399]
17:06:45 Model found (59.57s, +0.07s): [-380, -1400]
17:06:45 Model found (59.63s, +0.06s): [-380, -1401]
17:06:45 Model found (59.71s, +0.08s): [-380, -1402]
17:06:45 Model found (59.80s, +0.09s): [-380, -1403]
17:06:45 Model found (59.89s, +0.09s): [-380, -1404]
17:06:45 Model found (59.96s, +0.07s): [-380, -1405]
17:06:45 Model found (60.02s, +0.06s): [-380, -1406]
17:06:45 Model found (60.10s, +0.08s): [-380, -1407]
17:06:45 Model found (60.16s, +0.06s): [-380, -1408]
17:06:45 Model found (60.22s, +0.06s): [-380, -1409]
17:06:46 Model found (60.31s, +0.09s): [-380, -1410]
17:06:46 Model found (60.38s, +0.07s): [-380, -1411]
17:06:46 Model found (60.45s, +0.07s): [-380, -1412]
